Time, Quadrant Number, Ball Colour, Event Type
13.47, 4, red, Exit
13.47, 3, red, Exit
13.47, 4, white, Exit
13.47, 2, white, Exit
13.50, 4, red, Exit
13.50, 3, red, Exit
13.50, 4, white, Exit
13.50, 2, white, Exit
13.53, 4, red, Exit
13.57, 4, white, Exit
13.57, 2, white, Exit
13.60, 4, white, Exit
13.60, 2, white, Exit
13.63, 4, white, Exit
13.63, 2, white, Exit
13.67, 3, red, Exit
13.67, 4, red, Exit
13.67, 4, white, Exit
13.67, 2, white, Exit
13.70, 1, red, Exit
13.73, 4, red, Exit
13.73, 1, red, Exit
13.73, 2, red, Exit
13.77, 4, red, Exit
13.77, 1, red, Exit
13.77, 2, red, Exit
13.80, 4, red, Exit
13.83, 1, red, Exit
13.87, 4, red, Exit
14.27, 4, white, Exit
14.40, 2, red, Exit
14.43, 4, red, Exit
14.60, 3, red, Exit
14.60, 4, red, Exit
15.03, 1, red, Exit
15.07, 4, red, Exit
15.17, 3, red, Exit
15.17, 4, red, Exit
15.17, 2, red, Exit
15.20, 3, red, Exit
15.20, 4, red, Exit
15.33, 3, red, Exit
15.33, 4, red, Exit
15.37, 3, red, Exit
15.37, 4, red, Exit
15.43, 1, red, Exit
15.47, 4, red, Exit
15.67, 1, red, Exit
15.70, 4, red, Exit
15.87, 2, white, Exit
16.07, 2, red, Exit
16.10, 4, red, Exit
16.30, 2, red, Exit
16.33, 4, red, Exit
16.33, 2, red, Exit
16.37, 4, red, Exit
16.53, 3, red, Exit
16.53, 4, red, Exit
16.60, 2, red, Exit
16.63, 4, red, Exit
16.63, 1, red, Exit
16.63, 2, red, Exit
16.63, 4, white, Exit
16.67, 4, red, Exit
16.80, 2, red, Exit
16.83, 4, red, Exit
16.93, 2, red, Exit
16.97, 4, red, Exit
17.13, 2, red, Exit
17.17, 4, red, Exit
17.17, 1, red, Exit
17.17, 2, red, Exit
17.20, 4, red, Exit
17.27, 1, red, Exit
17.27, 2, red, Exit
17.30, 4, red, Exit
17.30, 1, red, Exit
17.33, 4, red, Exit
17.40, 3, red, Exit
17.40, 4, red, Exit
17.53, 3, red, Exit
17.53, 4, red, Exit
17.57, 3, red, Exit
17.57, 4, red, Exit
17.60, 3, red, Exit
17.60, 4, red, Exit
17.67, 2, red, Exit
17.70, 4, red, Exit
17.70, 2, white, Exit
17.77, 3, red, Exit
17.77, 4, red, Exit
17.80, 2, red, Exit
17.83, 4, red, Exit
18.23, 3, red, Exit
18.23, 4, red, Exit
18.30, 4, white, Exit
18.30, 2, white, Exit
18.37, 3, red, Exit
